index;mesh_consistency;depth;volume;surface;s_v_ratio;B_total;B_total_norm;alpha;aspect_ratio_xz_mean;aspect_ratio_xz_std;aspect_ratio_xz_max;aspect_ratio_yz_mean;aspect_ratio_yz_std;aspect_ratio_yz_max;aspect_ratio_xy_mean;aspect_ratio_xy_std;aspect_ratio_xy_max;aspect_ratio_circ_mean;aspect_ratio_circ_std;aspect_ratio_circ_max;aspect_ratio_frontal_xy_mean;aspect_ratio_frontal_xy_std;aspect_ratio_frontal_xy_max;;;;;;;;;;
74;1;4.46059;3.33446;26.6926;8.005074285;2.892976665;0.64856368;-1.013082424;1.550648809;0.665696021;0.709175468;0.195265682;0.129676767;0.099510379;8.741191551;2.128775188;7.126648268;3.214180022;3.214180022;1.467283476;2.259116065;0.617690346;2.754937764;;;;;;;;;;
75;1;4.5113;3.04064;25.5249;8.394581404;2.9958201;0.664070246;-0.987090027;1.493198094;0.682211382;0.671602642;0.186018409;0.120948946;0.092487753;8.666881129;1.993230059;7.261530534;3.088292793;3.088292793;1.403287301;2.490520649;0.593412824;3.10360464;;;;;;;;;;
76;1;4.54205;1.88443;15.0923;8.008947003;3.791954461;0.834855288;-0.657821808;0.966897319;0.728669132;0.431973228;0.201705057;0.128417912;0.097766867;4.472529067;1.256168091;4.418401034;2.051734215;2.051734215;0.91921269;2.074714237;0.447422024;2.641081651;;;;;;;;;;
77;1;4.55809;2.88184;25.1919;8.741602587;3.010852705;0.660551394;-0.585862217;1.442272153;0.606519;0.658560494;0.179264109;0.114188947;0.079702463;8.834409495;1.716036023;8.262737034;2.975466386;2.975466386;1.371388016;2.217067453;0.3795407;3.16201062;;;;;;;;;;
78;1;4.57565;2.05937;15.2579;7.409013436;4.017785212;0.878079663;-0.556045805;0.9306249;0.634053281;0.424776152;0.218153052;0.140478009;0.09374231;4.095156629;0.836310207;4.531317318;1.997245659;1.997245659;0.902151607;1.845485959;0.244099761;2.641448994;;;;;;;;;;
79;1;4.57515;2.11989;15.4531;7.289576346;4.26226014;0.931611016;-0.070407217;0.953732224;0.656164579;0.441061167;0.22449373;0.150456822;0.100453537;4.106329646;0.69598725;4.390698231;2.04190461;2.04190461;0.931720271;1.726985;0.225191468;2.290045475;;;;;;;;;;
80;1;4.57669;2.17943;15.5163;7.11943031;4.549063944;0.993963748;0.22010791;0.959967789;0.671404063;0.446349654;0.230027836;0.16002786;0.106115555;4.055173104;0.609371762;4.206260373;2.056908524;2.056908524;0.942606993;1.543753773;0.250239687;1.997051423;;;;;;;;;;
81;1;4.57576;2.28935;16.034;7.003734685;4.753990024;1.038950912;0.333825105;0.981715262;0.657086198;0.436025928;0.238928909;0.171199742;0.112942112;4.130073471;0.708466464;3.860614246;2.110921076;2.110921076;0.924703219;1.471826212;0.279444042;1.794154754;;;;;;;;;;
82;1;4.57705;2.36606;16.0615;6.788289392;4.960481433;1.083772612;0.097315923;0.978167177;0.647646565;0.445069204;0.247805711;0.181526517;0.11925192;4.035308033;0.764551031;3.732176424;2.112856035;2.112856035;0.947059787;1.470941005;0.302612356;1.760742513;;;;;;;;;;
83;0;4.57634;2.42115;16.2543;6.713462611;5.185623044;1.133137626;0.4449802;0.991358492;0.672554686;0.452045303;0.254563598;0.193191318;0.124055468;4.039383035;0.822422181;3.643896639;2.145969727;2.145969727;0.964025837;1.58635901;0.376877137;1.771440147;;;;;;;;;;
84;1;4.55832;2.37153;15.4917;6.532365182;5.537577863;1.214828679;0.524631657;0.945842193;0.687171047;0.472080723;0.266339597;0.209110853;0.130567402;3.615276965;0.476492084;3.615609374;2.07274052;2.07274052;1.010532389;1.665565448;0.449044715;1.753746841;;;;;;;;;;
85;1;4.51335;3.43606;22.9541;6.680354825;3.646275698;0.807886758;0.596357892;1.301815813;0.531126888;0.703365793;0.285751172;0.230842271;0.141740836;6.33358204;2.563545992;4.962337001;2.783616339;2.783616339;1.445520511;1.426672669;0.365917623;1.53104923;;;;;;;;;;
86;1;4.43989;3.42356;22.9167;6.693821636;3.75299228;0.845289473;0.664621237;1.319564153;0.580016443;0.800949798;0.293087559;0.254103917;0.145722529;6.476189997;2.818038812;5.496403356;2.824773687;2.824773687;1.633376052;1.539117181;0.438508072;1.578214259;;;;;;;;;;
87;1;4.37837;2.35435;15.3233;6.508505532;6.319470529;1.443338623;0.781256908;1.043591412;0.847329338;0.513392427;0.295433114;0.275607683;0.14882639;3.722701014;0.687586647;3.449606134;2.277972169;2.277972169;1.086052572;1.586113095;0.506309786;1.488282227;;;;;;;;;;
88;0;4.47434;3.54341;24.0439;6.785525807;3.690352013;0.824781312;1.47810202;1.395992405;0.583795567;0.771150605;0.287857721;0.251390222;0.145806085;6.981562083;2.835214408;5.288878057;2.959490782;2.959490782;1.57735666;3.474784029;0.921239578;3.197493508;;;;;;;;;;
89;1;4.50174;3.37906;24.6245;7.287381698;3.556209598;0.789963347;2.04480254;1.390881719;0.563450883;0.775964405;0.258437648;0.224096609;0.132210656;7.64636768;2.987628863;5.86915175;2.924661933;2.924661933;1.585873462;4.119795365;1.063167184;3.817379003;;;;;;;;;;
