index;mesh_consistency;depth;volume;surface;s_v_ratio;B_total;B_total_norm;alpha;aspect_ratio_xz;aspect_ratio_yz;aspect_ratio_xy;aspect_ratio_circ
3982;0;3.00283;1.37651;9.18136;6.67002782398966;2.59996145076725;0.865837043977597;0.0188756110055383;0.401098297272906;0.262915982589757;1.52557593997153;1.03606597776098
3983;1;3.08821;1.26989;8.88817;6.9991652820323;2.75926941615633;0.89348503377566;-0.0203735284058713;0.338624316351543;0.25301744376192;1.33834375731887;0.927676550493652
3984;1;3.16886;1.34061;9.07089;6.76624074115515;2.97698602671023;0.939450157694008;-0.28352964046904;0.321794904161118;0.252096653055042;1.27647432150104;0.909929753917813
3985;1;3.18973;1.38581;9.15501;6.60625193929904;3.30690040896273;1.03673364484227;-1.14702186330167;0.307870572117389;0.244533236355428;1.25901319880256;0.946669467321686
3986;1;3.23708;1.4518;9.55982;6.58480506956881;3.47426472626933;1.07327119696434;-1.65687774081503;0.319348610476108;0.249710850519604;1.27887358443416;0.96642653255403
3987;1;3.21494;1.82998;12.2575;6.69816063563536;3.04931182981327;0.948481722773449;-1.92639409005254;0.489261696952354;0.252068156792973;1.94098970364667;1.29171617510747
3988;0;3.18958;1.93887;10.9177;5.63096030161898;4.08007890330567;1.27919001978495;-2.62420266262813;0.37186557477787;0.255079979182212;1.45783912939806;1.1484834993949
3989;1;3.1885;2.28182;11.8104;5.17586838576224;5.17243775922756;1.62221664081153;-4.67174712414205;0.341179237886153;0.246448486749255;1.38438357803057;1.40600595891485
3990;1;3.18905;2.57149;12.5129;4.86601153416891;5.6657507919949;1.77662651635907;-3.97702348839486;0.366158573869961;0.243775732584939;1.50203045228212;1.52213668647403
3991;1;3.17863;2.48237;12.3999;4.99518605203898;5.07402205428097;1.59629213034577;-4.07859936530104;0.33954911392644;0.243041813611524;1.39708105729153;1.46746868934101
3992;1;3.15759;2.97068;13.2982;4.47648349872756;4.29116184992068;1.35899906255108;-2.92111790420738;0.349410151412945;0.242100779391878;1.44324257150519;1.52247441878141
3993;1;3.12963;3.54213;14.3604;4.05417079553828;4.10695307858835;1.31228071004826;-1.21904480535559;0.32879605576378;0.259515981122369;1.26695879899876;1.64862939069475
3994;0;3.11644;4.40418;15.8129;3.59043000059035;4.28841844775815;1.3760632156429;0.137464371916963;0.346283900861239;0.256543042702571;1.3498081928603;1.89153007919293
3995;1;3.09689;4.91138;16.5159;3.36278194723275;4.22735239469195;1.36503149762889;1.23950589631541;0.352080312829968;0.265342973111735;1.3268876454539;1.98545314815831
3996;1;3.07687;6.02223;18.3779;3.05167687052803;3.04865802333753;0.990830949418574;4.30031391691048;0.501939958464284;0.27574353157592;1.82031453501598;2.0870852522206
3997;1;3.04967;5.70458;18.4387;3.2322624978526;2.75451848228061;0.903218539147057;7.06659095039492;0.569322910347677;0.274980899572741;2.07040893106495;2.07997258719796
3998;0;3.03564;5.05041;17.627;3.49021168578393;2.91408703754228;0.959958044281363;8.27834780353205;0.4819655822166;0.286609742920768;1.68160920597119;2.08764214465483
3999;1;3.03209;3.42066;15.9293;4.65679137944139;2.74317537451939;0.904714363531224;10.6623549707861;0.510137561879759;0.27723913208381;1.84006333465776;1.86693666744721
4000;1;3.06076;2.51412;15.0916;6.00273654399949;2.61937249423911;0.855791533553468;12.8692949378514;0.510903174374992;0.271576993949215;1.88124615029258;1.7235980606124
4001;1;3.07911;2.7588;15.2462;5.52638828476149;2.82139637078408;0.9163025584614;12.9953917200945;0.50765610842094;0.264422186930639;1.91986956281435;1.73568336304971
4002;1;3.10465;2.07055;14.0204;6.77134094805728;2.88970754265402;0.930767572078661;13.4084620241816;0.455701286779508;0.25018085774564;1.82148742667923;1.61346045447957
4003;0;3.13143;2.30879;14.2657;6.17886425357005;2.85423341281918;0.911479232433481;13.2749733703402;0.444040582098275;0.264855992310222;1.67653591004343;1.63078210274539
