time;OCT-depth
-0.09028100000000006;6125.0
-0.09026699999999988;6125.0
-0.090252;6125.0
-0.09023800000000004;6125.0
-0.09022400000000008;6125.0
-0.09020899999999998;6125.0
-0.09019500000000003;6125.0
-0.09018100000000007;6125.0
-0.09016599999999997;6125.0
-0.09015200000000001;6125.0
-0.09013800000000005;6125.0
-0.09012299999999995;6125.0
-0.090109;6125.0
-0.09009500000000004;6125.0
-0.09008100000000008;6125.0
-0.09006599999999998;6125.0
-0.09005200000000002;6125.0
-0.09003899999999998;6125.0
-0.09002399999999988;6125.0
-0.09000999999999992;6125.0
-0.08999599999999996;6125.0
-0.08998099999999987;6125.0
-0.08996699999999991;6125.0
-0.08995299999999995;6125.0
-0.08993800000000007;6125.0
-0.08992399999999989;6125.0
-0.08990999999999993;6125.0
-0.08989599999999998;6125.0
-0.08988099999999988;6125.0
-0.08986699999999992;6125.0
-0.08985299999999996;6125.0
-0.08983799999999986;6125.0
-0.0898239999999999;6125.0
-0.08980999999999995;6125.0
-0.08979500000000007;6125.0
-0.08978099999999989;6125.0
-0.08976699999999993;6125.0
-0.08975200000000005;6125.0
-0.08973799999999987;6125.0
-0.08972399999999991;6125.0
-0.08970999999999996;6125.0
-0.08969500000000008;6125.0
-0.0896809999999999;6125.0
-0.08966699999999994;6125.0
-0.08965200000000006;6125.0
-0.08963799999999988;6125.0
-0.08962399999999993;6125.0
-0.08960900000000005;6125.0
-0.08959499999999987;6125.0
-0.08958099999999991;6125.0
-0.08956699999999995;6125.0
-0.08955200000000008;6125.0
-0.0895379999999999;6125.0
-0.08952399999999994;6125.0
-0.08950900000000006;6125.0
-0.08949499999999988;6125.0
-0.08948099999999992;6125.0
-0.08946600000000005;6125.0
-0.08945199999999986;6125.0
-0.0894379999999999;6125.0
-0.08942300000000003;6125.0
-0.08940900000000007;6125.0
-0.08939499999999989;6125.0
-0.08938099999999993;6125.0
-0.08936600000000006;6125.0
-0.08935300000000002;6125.0
-0.08933900000000006;6125.0
-0.08932399999999996;6125.0
-0.08931;6125.0
-0.08929600000000004;6125.0
